id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,
7dc12,7,Duergar Theurge,A spiky-haired gray dwarf gestures in your direction as her hands begin to blaze with hellfire.,"You deflect the spell back at the dwarf, setting her aflame. She falls, a burning pyre for her dark god.",,duergar critter series,15c + 4c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc13,7,Duergar Demolitionist,"Encased head to toe in heavy armor, a stocky figure lumbers toward you bearing an iron cylinder topped with a rapidly burning fuse!","Diving to the side, you avoid the massive explosion. The dwarf, however, is not so fortunate...",,duergar critter,19c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc14,7,Duergar Guard,"""You'll not get past me surface-crawler!"" says the duergar guard, as he raises a massive iron hammer.","The iron hammer falls to the ground with a heavy THUD, followed soon after by the defeated guard.",,duergar critter series,3p 2c + 2c + m 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc15,7,Hellthorn Golem,"A blazing suit of armor surges forward, hoisting a red-hot great sword over its fiery helm.","Whatever magic was animating the fiery construct has gone, leaving behind a massive, overheated hunk of metal.",,duergar critter,2m 13c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc16,7,Duergar Miner,"As the gray dwarf rushes forward, you are certain his heavy pick can break you far easier than it does the hard stone of the Underdark.","The miner swings and misses, sticking the heavy pick in the ground at your feet. Before he can lift it again, you bring your weapon down on his head, ending the fight.",,duergar critter series,2p 3c + t 2c + 2m,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc17,7,Duergar Work Gang,"Judging by their threats and curses, you'd guess these duergar laborers aren't pleased to have their work interrupted.","After defeating a few of the laborers, the rest decide they don't want to die here today and run off into the shadows.",,duergar critter,m p t 12c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc18,7,Mounted Duergar Theurge," A savage howler lunges at you with claw and fang, while mounted on its back, an equally savage duergar theurge casts spells down upon you.","Its master defeated, the beast lets forth a mournful howl and disappears into the darkness.",,duergar critter series,3p + 2m 5c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc19,7,Mounted Duergar Patrol,"As they race down upon you, it's obvious you have no chance of outrunning these mounted duergar. You ready your weapons for a fight to the finish!",You stand waist deep in a mixture of bloodied fur and gray dwarf carcasses. Not a pleasant feeling.,,duergar critter,2m p 2t 5c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc20,7,Duergar Forgemaster,This massively muscled duergar hoists his hammer and eyes you as if you were an ingot of pig-iron in need of a good pounding.,"The forge will go cold now, its master in the dirt.",,duergar critter series,3p + 2t 5c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc21,7,Archon Flamebow,The Elemental warrior announces his presence with a hail of burning arrows.,"The battle over, you warm yourself by the light of the flaming arrows stuck in the wall.",,fire critter,m 2p 2t 6c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc22,7,Archon Flameshield,"In a sudden rush of flame, the burning warrior is upon you and cleaving with his blazing blade.","The flameshield falls, all fire and warmth vanishing in the darkness.",,fire critter series,m 6c + p + t 6c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc23,7,Archon Ash Disciple,Bolts of flame flash down around you as a being of living fire surges forward!,"After the battle, nothing remains of the disciple but the ash its named for.",,fire critter,2m p t 8c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc24,7,Flamespiker,You feel a wave of heat wash over you as a creature of living magma stalks forward. It seems intent on impaling you upon the red-hot spikes that serve as its arms.,"The creature falls to the ground and hardens, forever in its defeated pose.",,fire critter series,2m 3c + 2p + t 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc25,7,Fire Giant Forge Caller,This towering figure is so tall you can barely make out his flaming red beard and fiery eyes. With a gesture he causes the earth around you to erupt in a blast of fire!,"Running along the giant's arm, you lunge for its throat, splitting it open and sending flames shooting across the room. The monster falls to the ground with en earth-shaking crash.",,fire critter,20c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc26,7,Fire Giant Lava Master,"With every stride, the earth beneath this mighty giant's feet turns to molten magma.","The giant sinks into the molten ground, leaving no trace besides the melted rock where it once stood.",,fire critter series,3m + 2p 5c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc27,7,Magma Brute,The earth beneath your feet trembles as the towering elemental rips a blazing slab of rock from the ground and prepares to hurl it at you!,"The magma hardens, freezing the brute in place. As you strike at the creature, you realize whatever magic it once had is now gone, leaving it nothing more than rock itself.",,fire critter,2t 15c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc28,7,Fire Mephit Swarm,The air is filled with shrieks of laughter as a dozen or more burning mephitis whirl around you trailing clouds of thick smoke.,"You fight the annoying creatures off, failing to actually defeat any. You curse at the smoke trails that disappear into the shadows.",,fire critter series,3m 5c + 2p,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc29,7,Fire Archon Squad,"What appears to be a troop of well-drilled soldiers advances upon you shields raised, bows drawn... only these soldiers are made of living fire!","Though the battle is over, the weapons and armor on the ground still radiate a hate-fueled heat.",,fire critter,2m 2p 7c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc30,7,Fire Giant General,"Master of a mighty army, this lordly fire giant seems annoyed at having to crush you himself.","Before the flames leave his eyes forever, you see a look of disbelief; how could you have defeated this mighty creature?",,fire critter series,3m 5c + 2t,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc31,7,Recap Powrie,"This dark fey is small, but the two razor-sharp sickles it swings more than make up for its lack of stature.","The creature wilts and falls, sickles clanging against the ground.",,redcaps critter series,m 2c + p 3c + 2c 2t,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc32,7,Recap Witherer,"As this tiny, robed figure gestures, the foliage around it withers and dies.","The creature defeated, you could swear you can hear the natural world whisper a word of thanks.",,redcaps critter,3m t 8c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc33,7,Redcap Thorn,"At this dark fey's command, thorny roots erupt from the earth to entangle you!","The redcap defeated, you pluck thorns from your skin and untangle roots from your limbs.",,redcaps critter series,3m 6c + p 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc34,7,Redcap Giantsoul,"This creature seems no larger than a gnome, until its arms grow suddenly huge and slam down, shattering the stone beneath your feet.","The redcap falls over with a rumbling yell, shrinking away to almost nothing.",,redcaps critter,21c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc35,7,Quickling Runner,The little monster is every bit as fast as its name suggests.,"The quickling proves too fast to catch and after toying with you for a while, it disappears into the darkness. Annoying little thing...",,redcaps critter series,2p + 2m 2c + t 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc36,7,Redcap Patrol,"A squad of tiny dark fey surges toward you, each one eager to dip its red cap in your freshly spilled blood!","Despite their small size, your attackers do not fall easily. You will not take your next encounter with these creatures at all lightly.",,redcaps critter,2p 14c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc37,7,Redcap Ambush,Suddenly a host of redcaps burst forth from concealment. You have only seconds to regain the initiative.,"Swinging wildly, you take out a few of the ambush's leaders. The rest scatter, leaving you alone and somewhat relieved.",,redcaps critter series,2t 2c + 2t 2c + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc38,7,Redcap Corrupters,"A group of redcaps stand before you, their twisted features mirroring the corruption in their souls.","You defeat the evil fey, sending their corruption back to the mud.",,redcaps critter,2p 2t 8c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc39,7,Redcap Ritual,"A group of redcaps chant in unison, enacting a ritual designed to bring corruption to the land.","The ritual interrupted, you are able to stop the evil fey from spreading their corruption.",,redcaps critter series,3p 5c + 2m,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc40,7,Redcap Spider Breeders,Huge arachnids scuttle forward at the command of these diminutive dark fey.,"Their masters dead, the spiders fight for a while but do not have the will to go to the death.",,redcaps critter,3m 2p 5c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc41,7,Wight Battle Commander,Hatred for the living blazes forth from the eyes of this armored champion of the undead.,"""The rest of you look upon me and fear,"" you shout, ""your unholy commander has been defeated!""",,undead critter,2m 3t 6c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc42,7,Wight Deathlock,"This withered, undead hag raises her staff and summons forth bolts of negative energy.","Defeated, the deathlock vanishes, consumed by its own unholy fury.",,undead critter series,t 3c + 2m 2c + p 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc43,7,Deathlock Wight Coven,The chanting of these undead witches sounds like the rustle of dead leaves blowing through a graveyard.,"The battle over, you stand over a pile of withered husks, kicking the unholy remains away.",,undead critter,m 2p t 7c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc44,7,Deathlock Wight Summoner,The wight speaks an unholy word and skeletal warriors begin clawing their way up from the ground around you.,"You are forced to fight through waves of skeletons before you can finally strike down the summoner, causing any remaining undead to tumble to the ground.",,undead critter series,2m 2c + 2p 2c + 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc45,7,Deathlock Wight Ritual,The unholy ritual being performed by this wight will call forth an unstoppable army of the undead. Only you can prevent this abomination!,You're able to stop the unholy ritual before a single undead hand can tear up through the earth or push aside a coffin lid.,,undead critter,m 3p 9c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc46,7,Deathlock Wight Hunter,"Turning quickly you manage to catch a glimpse of the creature that has been stalking you, there is no life in the cold, dead eyes that follow your every move.","An unholy wail echoes through the halls as you strike down the evil creature. You look for another attacker, but things seem calm for now.",,undead critter series,3p 5c + 2t,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc47,7,Wight Strikeforce,"A squad of undead monsters charges forward, intent on destroying any living thing in their path.",You bring down the horde of undead before they can torment any other living creature.,,undead critter,p 17c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc48,7,Mad Wight Battle Commander,"Maddened by the agony of undeath, this powerful undead soldier seeks to share his pain with as many living creatures as possible.","The horror is unpredictable and determined, making for a very tough opponent. After the battle, you perform a consecration ritual, hoping to purify the monster's soul.",,undead critter series,3t 5c + 2t,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc49,7,Enraged Wight Battle Commander,"Bested in battle by Kelemvor’s Doomguides, this captain of the undead now intends to vent his rage on you.","All the rage, all the fury that dwelled within this creature is now gone, an eerie calm drifting through the air.",,undead critter,m p t 10c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc50,7,Honorable Wight Battle Commander,"The undead creature before you throws down a rusted gauntlet in challenge. Win, and its treasures are yours, lose, and you suffer an eternity as its undead vassal.","The defeated wight kneels at your feet, waiting for the final blow. You oblige and wonder what this creature must have been like in life to end up in this state.",,undead critter series,3t + 2t 5c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc51,7,Poisoned Spike Trap,A deadly combination of both crude and elegant engineering.,You disarm the trap and inspect the poison. Giant wasp. Deadly.,,trap,7t,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,
7dc52,7,Poisoned Arrow Bank Trap,"If you can disarm the trap, you might be able to recover some of the poisoned arrows for later use.","Careful not to make contact with the poisoned arrow, you find it to be covered with malyss root paste.",,trap series,4t + 3t,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,
7dc53,7,Poisoned Dart Bank Trap,Something precious must be on the other side of that trap.,"You believe the darts to be coated in black lotus extract, a deadly poison that works on contact.",,trap,p 6t,,Gateway_Challenge_T1_Reward_Test_03,,,,,trap,,
7dc54,7,Disease Vent Trap,You can sense a pestilence has corrupted every living thing that has passed through this area.,"You find and disable the disease vent trap, doing your part to keep the pox at bay.",,trap series,m t + m p t + m t,,Gateway_Challenge_T1_Reward_Test_04,,,,,trap,,
7dc55,7,Camouflaged Summoning Trap,"This trap will be incredibly hard to find, but the beasts it summons will make themselves immediately known.","A party member is about to unknowingly spring the trap, but you are able to stop them before they bring death upon you all.",,trap,2m 5t,,Gateway_Challenge_T1_Reward_Test_06,,,,,trap,,
7dc56,7,Beams of Searing Light,What looks like a comforting respite is actually a deadly trap.,"A cruel trick, you are able to outsmart whoever set this trap up.",,trap series,m p t + p t + p t,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,
7dc57,7,Crushing Stone Walls,There are no second chances with a trap this deadly.,"You step safely across as a small goblin charges after you, not seeing the trap. With a THUMP, the walls turn the orangeskin to paste.",,trap,m 2p 4t,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,
7dc58,7,Hidden Golem,You hear a click and out of the corner of your eye you see a massive fist swing your way. There might be a way to deactivate the stone guardian...,"You find a scroll of command hidden in the wall. As soon as you remove it, the construct freezes, not to move again until the scroll is replaced.",,trap series,2m + 3t + 2p,,Gateway_Challenge_T1_Reward_Test_03,,,,,trap,,
7dc59,7,Symbol of Pain,"Stepping into the room, you feel an instant and piercing ache in every one of your bones.",You can only imagine how brutal the agony would be if the rune had been activated.,,trap,2m 2p 3t,,Gateway_Challenge_T1_Reward_Test_04,,,,,trap,,
7dc60,7,Symbol of Death,You see the fingertip of a withered corpse barely touching a fairly conspicuous rune on the floor.,"The entire room covered in mysterious runes, you use the skeletal hand as the way to know where to step safely.",,trap series,4m + 3t,,Gateway_Challenge_T1_Reward_Test_06,,,,,trap,,
7dc61,7,Iron Chest,A locked iron chest sits before you. It looks too strong to break open; hopefully your lock-picking skills are up to the task.,"You take your time and eventually crack the iron chest's lock, it's riches now yours.",,treasure,7p,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc62,7,Engraved Chest,A riddle has been engraved into the top of an ornate chest. Can you solve it?,"""The tide!"" you exclaim, having solved the riddle. A light bursts from the lock and the chest flies open.",,treasure series,m p + m p + m p t,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc63,7,Large Hidden Cache,"Moving a rock to the side, you realize the entire room is a false floor hiding something valuable underneath.","After investigating, you discover the hidden cache is actually a hidden tomb, containing lordly riches.",,treasure,6m p,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc64,7,Large Gem Pile,"Some cut, some raw, the brilliance of the gems is nearly blinding.","You're not sure who or what would keep a pile of gems like this, but you're too busy looting to give it much thought.",,treasure series,3t + 4p,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc65,7,Impressive Treasure Pile,You take a minute to admire the vast riches you're about to pilfer.,Whoever originally collected all of this treasure did an impressive job of gathering valuable items from all across the land.,,treasure,5p 2t,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc66,7,Large Treasure Trove,"It's hard to decide on the best way to haul this much treasure away, but you're willing to try several different approaches.","Knowing it will take repeated trips to cart all this treasure home, you collect the most valuable items and do your best to hide the rest for now.",,treasure series,4p + 3p,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc67,7,Well Hidden Trove,You don't need to guard your treasure when you can hide it this expertly.,"Each time you think you've found everything, another hidden cache pops open. This could take a while...",,treasure,3m 2p 2t,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc68,7,Treasure Hoard,The real challenge will be finding a way to bring all of this treasure home with you.,"Each member of the party loads up as much as they can possibly carry, knowing they will be leaving more behind than some will see in a lifetime.",,treasure series,4p + 3m,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc69,7,Large Stone Chest,"You find a very large, stone chest. It will take a great amount of strength to slide the heavy lid from the base.","Constructing a lever and pulley system, it takes everyone working together for a while to crack this chest open.",,treasure,m 6p,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc70,7,Rune-Covered Chest,"Runes have been etched into an iron chest, some suggesting warnings, others promising riches if opened.","You study the runes and find one word repeated over and over: Lerual. Whispering the word, the chest flies open, reveal ancient treasure.",,treasure series,3m + 2p + 2t,,Gateway_Challenge_T1_Reward_Test_05,,,,,treasure,,
7dc71,7,Shifting Passage,"After each step, the passages before you seem to change and the way back seems to vanish into darkness.","You follow the path as far as it leads, eventually ending up in a far away and unfamiliar place.",,portal,7m,,Gateway_Challenge_T1_Reward_Test_01,,,,,portal,,
7dc72,7,Puzzle Box,Each turn and click brings you one step closer to the mystery within.,The final rune falls into place. Tick. Tick. Tick. With a flash you find yourself in a new place.,,portal series,2t + 2m + 3p,,Gateway_Challenge_T1_Reward_Test_01,,,,,portal,,
7dc73,7,Hidden Tunnel,"Disguised as a section of unimpressive wall, you get a sense that something secret hides on the other side.","Touching the wall, you are surprised by what you feel: nothing. You step through the illusion into the secret passage.",,portal,2m 3p 2t,,Gateway_Challenge_T1_Reward_Test_03,,,,,portal,,
7dc74,7,The Well of Many Worlds,Songs from distant lands echo up from the water and bounce off the stones. You feel as though you could sing back and be heard by someone far away.,"Singing back to the ghostly voices, you feel your feet lift off the ground as you drift gently through the air. You're not sure where you'll end up and right now you don't care.",,portal series,4m + 3m,,Gateway_Challenge_T1_Reward_Test_04,,,,,portal,,
7dc75,7,Flying Carpet,The hovering carpet appears to be waiting for you to take your place atop it.,"Keeping a strong grip, you let the carpet take you to strange new places.",,portal,2m 4p t,,Gateway_Challenge_T1_Reward_Test_06,,,,,portal,,
7dc76,7,Stone Door,A heavy stone door blocks your path.,"You try attacking, lock-picking, and magic, but in the end, all it takes to open the heavy door is a little luck in the form of leaning against the trigger-rock.",,door series,3p + 4m,,Gateway_Challenge_T1_Reward_Test_01,,,,,door,,
7dc77,7,Magical Archway,You can feel magical energy surging from runes etched into the alternating gold and silver bricks.,"Touching the runes in the correct order, the magical energy fades from the archway allowing safe passage.",,door,5m p t,,Gateway_Challenge_T1_Reward_Test_01,,,,,door,,
7dc78,7,Intricately Carved Gate,Silver and gold filigree adorn a well-crafted series of bars. Much time and love has been dedicated to this gate.,"Carefully, you pick the lock on the exquisite gate. Just because you need to pass, doesn't mean you need to destroy a work of art.",,door series,4t + 3m,,Gateway_Challenge_T1_Reward_Test_03,,,,,door,,
7dc79,7,Heavy Portcullis,"You try to lift the massive bars, wondering if maybe there isn't another way to open the gate.","With no obvious keyhole, you try speaking to the gate. To your surprise, a face appears in the bars. ""It's so nice to have a polite conversation. You may pass.""",,door,4m p 2t,,Gateway_Challenge_T1_Reward_Test_04,,,,,door,,
7dc80,7,Magical Vines,"Each time you cut one, many more take its place.",Fire proves to be the only thing that can keep the vines from growing back long enough for you to pass.,,door series,3p + 4t,,Gateway_Challenge_T1_Reward_Test_06,,,,,door,,
7dc81,7,Frozen Travelers,An unnatural ice has trapped every poor soul that's stumbled into the area.,"You ward yourself against the elemental magic, determined not to end up like everyone else that's come through.",,scenario,3m 2p t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
7dc82,7,Well-Worn Path,Sometimes it's better to take the path less traveled.,"You venture out in a new direction, forging a new path for future adventurers to follow.",,scenario series,2m 3c + 2m + 2p,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
7dc83,7,Trapped Knight,"""Free me and I will see you duly rewarded,"" the knight gasps from within his helmet.","""When you need me most, I will be there,"" promises the grateful knight.",,scenario,3m 2p t 3c,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
7dc84,7,Hidden Rogue,"You don't see anything suspicious, which is the most worrisome thing of all.","""There are many, many more of us,"" gasps the rogue with his final breath. You look around, but see nothing.",,scenario series,2t + 2p 3c + 2m,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,
7dc85,7,Gravedigger,A gaunt old man in a half-dug grave pauses when you approach and offers you his shovel.,"The old man is exceedingly grateful for the help. ""A man shouldn't have to dig his own grave,"" he says, sinking into the hole and shutting his eyes.",,scenario,3m p 2t 2c,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,
7dc86,7,Unfinished Spell,"""Kla... tuver... a..."" the wizard stops and thinks to himself before trying again, blood dripping from his nose.","""Tanikto!"" he exclaims. Horrified, you watch the wizard twist and morph into a demonic shape before vanishing in a burst of hellfire.",,scenario series,2p + 2m + 2t 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
7dc87,7,Comforting Campfire,"You feel the security and comfort of a warm campfire, something you didn't even realize you'd been missing.",This campfire was exactly what you needed to raise your spirits and keep your determination strong.,,scenario,3m p 2t 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
7dc88,7,Adventuring Party,"A group of adventurers stand on the other side of a partially-extended bridge, the leader motioning towards twin leavers on either side of the gap.","Together, you both pull the levers at the same time, extending the bridge all the way across the gap. You nod at each other as you continue along your respective journeys.",,scenario series,3m + 3p 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
7dc89,7,Dancing Lights,Small lights move to ethereal music. You feel compelled to join in.,"You dance with the lights for a while, laughing and singing with ghostly voices. The celebration over, the lights fade to black.",,scenario,2m 2p 2t 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,
7dc90,7,Lifelike Statues,It's hard to believe anyone could carve something so intricate... perhaps these aren't statues at all?,"Upon closer inspection, these are, in fact, statues. You look for the artist's mark, hoping to use treasures found in this place to commission a piece of your own.",,scenario series,3m 2c + 3p,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,
7dc91,7,Caged Prisoners,You find a series of cages built far too small for the unfortunate occupants trapped inside.,"Prying the cages open, you free the grateful prisoners. They warn you that their captors will be back soon and beg you to be careful.",,scenario,2m 2p 2t 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
7dc92,7,Unattended Banquet,You find a large table piled high with exotic delights from across the land and at the head of the table a single chair displaying your name etched in marble.,"Looking closer at the delights, the spell lifts and you see them for what they are: body parts and organs from monstrous creatures. It's a good thing you didn't just sit down and start eating.",,scenario series,3m 3p + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
7dc93,7,Skittering Room,Every inch of the room shifts and skitters with an incalculable number of tiny insects.,"Lighting a handful of torches, you do your best to keep the creepy-crawlies as far from yourself as possible.",,scenario,2m 3p t 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
7dc94,7,Stables,"Hoping to find horses, you instead find beasts of hellfire and brimstone.","You attack the demonic mounts, driving them back to the planes of hell.",,scenario series,3p 2c + 3t,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,
7dc95,7,Moment of Rest,"Despite the horrors and trails that surround you, you're able to find a safe place to rest.",The rest does you a world of good. You feel ready to take on the remaining challenges.,,scenario,2m 3p t 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,
7dc96,7,Death Maze,"There are so many corpses in this maze, one could use the remains to build a path back to the beginning.","Realizing there's no actual safe passage through the maze, you instead knock down wall after wall until you've reached the exit.",,scenario series,3p + 3t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
7dc97,7,Underground Sea,"The waters stretch beyond your sight, far into the darkness.",You place a message into a bottle and throw it out into the waves. Maybe someday someone will find it on a beach somewhere.,,scenario,2m p 3t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
7dc98,7,Slaver Camp,Slavers sit around a campfire while their prisoners are confined to cages unfit for beasts half their size.,"Not willing to let this go unpunished, you take down the slaver camp and free the beaten captives.",,scenario series,3p 3t + 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
7dc99,7,Fungal Garden,Someone has taken great care to farm a variety of deadly mushrooms.,"You take note of the mushrooms found here, should an antitoxin need to be formulated in the future.",,scenario,2m p 3t 3c,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,
7dc100,7,Window to the Far Realm,"The last thing anyone sane wants to see; madness, fear, horror. All of it stares back at you through the ethereal glass.","It takes all of your willpower, but you find the strength to shatter the glass, locking the madness away for now.",,scenario series,3t 2c + 3m,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,
7dc101,7,Another Riddle,"A slender man with a toothy grin holds a glowing key that points towards a glowing door. ""Five men going to church. It starts to rain. Four ran and got wet. One remained still and stayed dry.""","""A funeral! The one who didn't run was in the box!"" you smile. The man bows and disappears in a burst of violet fire.",,scenario,m 2p 3t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
