id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,,
3dc11,3,Goblin Patrol,You can hear the goblins gibbering from around the corner.,The last goblin falls into a pool of red and orange.,,goblin critter series ,m 2c + p,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_goblin_01,critter,,,
3dc12,3,Goblin Sentry,The small orangeskin's head rests against its chest as a light 'zznh' fills the room.,"Moving quickly and quietly, you're able to take out the sentry before he wakes up.",,goblin critter ,2m 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_goblin_01,critter,,,
3dc13,3,Goblin Sharpshooter,The goblin nocks a wicked arrow and grins in your direction.,"Enemy vanquished, you pull a jagged shaft from your arm.",,goblin critter series ,p t + 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,sca_fg_goblin_01,critter,,,
3dc14,3,Lone Goblin,"Where there is one, there are likely many.","In this case, there was just the one goblin, but one was more than enough…",,goblin critter ,m 5c,,Gateway_Challenge_T1_Reward_Test_04,,,,sca_fg_goblin_01,critter,,,
3dc15,3,Goblin Hex Hurler,"With a quick gesture at his foul smelling cauldron, the goblin mage shows he plans to put your corpse into his potion.","You toss the goblin's body into the cauldron, hoping to ruin whatever the monster was cooking up.",,goblin critter series ,m 3c + m,,Gateway_Challenge_T1_Reward_Test_06,,,,sca_fg_goblin_02,critter,,,
3dc16,3,Goblin Skullcleaver,The cracked trophy skulls of past foes give ample warning this goblin's short stature is no reason to dismiss his prowess.,"The goblin's body falls into the trophy pile, adding to the collection.",,goblin critter ,2t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_goblin_02,critter,,,
3dc17,3,Goblin Sappers,Crude explosives in hand... or what they have left of hands... the goblins prepare for more BOOM!,"You startle the goblin with the torch, causing an explosive chain reaction.",,goblin critter series ,p 2c + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_goblin_02,critter,,,
3dc18,3,Goblin Hunting Party,A surprisingly stealthy group of goblins make their way from shadow to shadow.,"You defeat a few of the goblins, causing the rest of the hunting party to disappear into the shadows.",,goblin critter ,2p 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,sca_fg_goblin_01,critter,,,
3dc19,3,Goblin War Party,"Dressed in crude armor pulled from fallen foes, the fearsome group of goblins looks for its next victim.","Fearsome little monsters, the war party fights until every last one of them has been defeated.",,goblin critter series ,3c + 2p,,Gateway_Challenge_T1_Reward_Test_04,,,,sca_fg_goblin_02,critter,,,
3dc20,3,Goblin Chief,"The chief stands before you, dressed in the finest hides and bones its previous opponents had to offer.",You stand victorious over the chief and place its crown upon your head.,,goblin critter ,p 6c,,Gateway_Challenge_T1_Reward_Test_06,,,,sca_fg_goblin_02,critter,,,
3dc21,3,Kobold Dragonshield,The kobold bangs its shield and yells something in Draconic.,You kick the defeated kobold's signature shield to the side and step past your fallen foe.,,kobold critter,8c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,,
3dc22,3,Kobold Hurler,It might be wise to find cover... and quickly.,"You stay in cover until the kobold runs out of ammo. Seizing the opportunity, you rush the creature and take it down with a single strike.",,kobold critter series,3c + p 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,,
3dc23,3,Kobold Slyblade,"Wielding a pair of short swords, the kobold readies an attack with both weapons.","Despite the kobold's best moves, you were still able to take it down with relative ease.",,kobold critter,2t 3c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,,
3dc24,3,Kobold Wyrmpriest,"With a cruel prayer to the dragons she worships, the Kobold Wyrmpriest breathes a great gout of flame.","The wyrmpriest defeated, you pat down the small flames still dancing on your clothing.",,kobold critter,m 6c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,,
3dc25,3,Kobold Patrol,"Marching in formation, these kobolds take their jobs very seriously.",You smile at how quickly the now-dead kobolds broke formation once the battle had begun.,,kobold critter series,2m + 2c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,,
3dc26,3,Kobold Ritual,Draconic chanting echoes through the halls as they prepare for their dark ritual.,"Moving quickly, you bring down each kobold before the ritual can even really begin.",,kobold critter,m p 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,,
3dc27,3,Kobold Trappers,Traps made of bone and iron line the floor.,Triggering the mechanisms from a distance proved to be the perfect tactic to draw out and defeat the trappers.,,kobold critter series,t + p 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,,
3dc28,3,Kobold Courier,This swift-footed kobold is carrying a message for his draconic masters and will not be stopped.,"Reaching down next to the fallen courier, you pick up and read the message you're guessing was about you: ""Danger! Intruders! Kill!""",,kobold critter series,3c + m 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,,
3dc29,3,Kobold Ambush,Hopefully you'll have time later to try and figure out how these creatures managed to catch you by surprise.,"As soon as the largest kobold falls dead in the dirt, the rest scatter. Now to figure out how they got the drop on you...",,kobold critter series,2m + 3c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,,
3dc30,3,Kobold Bard,It's not always the most gifted kobold that ends up singing in the taverns.,"The kobold finishes his song, bows and runs off into the darkness. That was strange...",,kobold critter,m t 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,,
3dc31,3,Rebel Hexer,You can hear a spell being cast from behind the rebel's mask...,"You knock the hexer back, causing the spell to fizzle. Acting quickly, you take the rebel down before another incantation can begin.",,rebel critter ,m p 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_cleric,critter,,,
3dc32,3,Rebel Sniper,"A single arrow whizzes past your ear, missing by a fraction of an inch.",You find and take out the sniper before another arrow can be nocked.,,rebel critter series ,t 3c + t,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_woman,critter,,,
3dc33,3,Rebel Soldier,Perhaps it's not too late to pay off this mercenary.,The soldier considers your offer and decides a small payout is better than death.,,rebel critter ,9c,,Gateway_Challenge_T1_Reward_Test_03,,,,sca_fg_cleric,critter,,,
3dc34,3,Rebel Patrol,The patrol follows a predictable path and shouldn't be too challenging to deal with quickly and quietly.,"Waiting patiently for the patrol to be in the perfect position, you count their steps and strike at the calculated moment. The entire patrol is defeated before they realize what's happening.",,rebel critter series ,p 3c + t,,Gateway_Challenge_T1_Reward_Test_04,,,,sca_fg_woman,critter,,,
3dc35,3,Rebel Infiltrator,"A master of deception, this mercenary has you questioning everything you thought you knew about your fellow adventurers.","The mercenary offers to tell you about other hidden spies in exchange for mercy. Knowing only lies will follow, you choose to put the infiltrator down.",,rebel critter ,2p 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,sca_fg_cleric,critter,,,
3dc36,3,Rebel Thieves,These bandits aren't much more than common thugs.,"As soon as they realize they're outmatched, the thieves give up and run away. Cowards.",,rebel critter series ,t + t 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_woman,critter,,,
3dc37,3,Rebel Rabble-Rousers,Always stirring up trouble...,You disperse the rebels and bring some quiet and order to the area.,,rebel critter ,t 4c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_woman,critter,,,
3dc38,3,Rebel Ambush,A well-planned and smartly-coordinated attack. This will be tricky.,You fight off the ambushers who retreat as soon as it doesn't look like they can win.,,rebel critter series ,2t + 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,sca_fg_cleric,critter,,,
3dc39,3,Rebel Saboteur,You catch a glimpse of a mercenary running away seconds before your campsite goes up in flames.,"You manage to put out the fire, but you can find no trace of the saboteur.",,rebel critter ,m t 3c,,Gateway_Challenge_T1_Reward_Test_04,,,,sca_fg_woman,critter,,,
3dc40,3,Rebel Gang,There are many mercenary gangs. It looks like you'll need to take them down one at a time.,This particular gang doesn't prove to be much of a challenge and are easily defeated.,,rebel critter series ,t 2c + t,,Gateway_Challenge_T1_Reward_Test_06,,,,sca_fg_cleric,critter,,,
3dc41,3,Zombie Rotter,It will take a powerful strike to keep this monster down for good.,The rotter rises back to its feet a few times before staying down for good.,,undead critter series ,2c + 2m,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_zombie_01,critter,,,
3dc42,3,Group of Skeletons,A rattling of bones alerts you to the skeletons' presence.,You have little trouble turning this group of undead into a pile of bones and cloth.,,undead critter,t 5c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,,
3dc43,3,Skeleton,"The most common of the undead, yet you never really get used to seeing them.","You dispatch the skeleton, hoping it will stay dead this time.",,undead critter series,t 3c + m,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,,
3dc44,3,Armed Skeleton,The monster has found a rusty sword and is waving it around.,"Even armed, the skeleton proves to be a very minor challenge.",,undead critter,2m 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,,
3dc45,3,Ancient Skeleton,The skeleton moves with a deftness usually reserved for the living.,Yellowed bones scatter across the room as you send the abomination back to sleep.,,undead critter series,2c + p t,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,,
3dc46,3,Sludge Zombie,"Foul black slime oozes from this zombie, leaving a trail of filth behind it.",You're careful not to step in any of the slime that continues to drain from the defeated zombie.,,undead critter ,2m 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_zombie_01,critter,,,
3dc47,3,Feasting Zombie,You interrupt this horrid creature as it feasts on its last victim.,"You easily dispatch the zombie, gaining some measure of justice for its recent victim.",,undead critter series ,m + t 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_zombie_01,critter,,,
3dc48,3,Zombie Horde,There are too many of them to fight. You need to run. Run!,"You lead the horde through twists and turns, doing your best to lose them. Breathing heavily, you listen for their unholy moans... silence. You're safe for now.",,undead critter ,m p 3c,,Gateway_Challenge_T1_Reward_Test_03,,,,sca_fg_zombie_01,critter,,,
3dc49,3,Desiccated Zombie,"Long years have dried this undead horror's flesh into a tough, leathery hide.","The dried flesh ripped from its bones, this foul creature will no longer haunt these halls.",,undead critter series ,m 2c + m,,Gateway_Challenge_T1_Reward_Test_04,,,,sca_fg_zombie_01,critter,,,
3dc50,3,Festering Zombie,Pestilence oozes from rotten wounds on the zombie's flesh.,"Each strike sends a burst of pus and filth into the air. Finally the abomination falls, rot seeping from every wound.",,undead critter ,2m 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,sca_fg_zombie_01,critter,,,
3dc51,3,Crude Blade Trap,A tip of the rusted blade can be seen poking up through the ground.,You disarm the blade trap with ease.,,trap,3t,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,,
3dc52,3,Crude Spike Trap,This trap is not very well hidden...,You are easily able to avoid the spike trap.,,trap series,m t + t,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,,
3dc53,3,Simple Arrow Trap,This trap should be fairly easy to avoid.,This trap posed no real threat.,,trap,p 2t,,Gateway_Challenge_T1_Reward_Test_03,,,,,trap,,,
3dc54,3,Simple Arrow Bank Trap,The trap's holes in the wall are easy enough to spot.,It takes little effort to avoid this arrow bank trap.,,trap series,p t + t,,Gateway_Challenge_T1_Reward_Test_04,,,,,trap,,,
3dc55,3,Simple Dart Trap,An obvious pressure plate rises above the floor.,"Just for practice, you disarm the obvious pressure plate.",,trap,m 2t,,Gateway_Challenge_T1_Reward_Test_06,,,,,trap,,,
3dc56,3,Simple Dart Bank Trap,The pressure plate is easy to spot.,You add some additional markings so everyone can easily avoid the trap.,,trap series,2t + m,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,,
3dc57,3,Crude Spear Trap,This trap poses no real threat.,"You avoid the crude spear trap, shaking your head at its poor construction.",,trap series,t + m t,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,,
3dc58,3,Simple Steam Vent Trap,A rusted vent on the floor gives away the trap.,You disable the steam vent trap before anyone can trigger it.,,trap series,t + 2t,,Gateway_Challenge_T1_Reward_Test_03,,,,,trap,,,
3dc59,3,Crude Rockfall Trap,It seems likely that a goblin constructed this trap.,"Though tempted to wait and see if the simple creature that set this trap would be caught by it, you decide to disable it and move on.",,trap series,p + 2t,,Gateway_Challenge_T1_Reward_Test_04,,,,,trap,,,
3dc60,3,Crude Summoning Trap,"While the trap itself is crude, the things it might summon could be deadly.","Deciding not to take any chances, you disable the crude summoning trap.",,trap series,t + p t,,Gateway_Challenge_T1_Reward_Test_06,,,,,trap,,,
3dc61,3,Wooden Chest,You find a simple wooden chest.,The chest opens easily.,,treasure ,3p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc62,3,Damaged Chest,Someone else has already tried to open this chest.,You finish what the previous person started and open the damaged chest.,,treasure series ,p + p t,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc63,3,Small Coin Pile,A few loose coins are scattered about the floor.,You collect the loose coins without incident.,,treasure ,2p t,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc64,3,Small Chest,"You find a small, locked chest.","Taking care not to damage the tiny chest, you pick the look and find a small bit of treasure inside.",,treasure series ,2p + t,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc65,3,Small Gem Purse,"The purse may be small, but the items inside could be very valuable.",You find and pocket a small piece of finery.,,treasure series ,t + 2p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc66,3,Small Hidden Cache,You find a small box hidden in the rocks.,"The box may be small, but the treasure is valuable.",,treasure series ,p + 2p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc67,3,Small Lockbox,You find a small lockbox on a shelf.,"The lockbox creaks open, revealing the treasure inside.",,treasure series ,m + p t,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc68,3,Loose Gems,The light bounces off some small gems on the ground.,"You pocket the loose gems, looking around to see if this was some sort of trap.",,treasure series ,p + m p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc69,3,Small Backpack,A small satchel rests next to an unsuccessful adventurer.,You open the dead-man's satchel and find some items of value.,,treasure series ,m t + p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc70,3,Scattered Treasure,Small amounts of gold and gems are hidden around the room.,"Pretending to be on a scavenger hunt, you make a game out of finding each piece of hidden treasure.",,treasure series ,t + 2p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,,
3dc71,3,Secret Passage,A slight breeze can be felt through the cracks in the wall.,You pull the wall back revealing a secret passage that leads into darkness.,,portal ,2m t,,Gateway_Challenge_T1_Reward_Test_01,,,,,portal,,,
3dc72,3,Secret Lever,You hear a 'click' after pulling a gold-edged tome from the bookcase.,The bookcase slides to the side and torches lining a hidden passage come to life.,,portal series,m t + m,,Gateway_Challenge_T1_Reward_Test_01,,,,,portal,,,
3dc73,3,Trap Door,The floor creaks suspiciously.,"Removing the covering, you find a trap door that leads to a secret area.",,portal series,m + m p,,Gateway_Challenge_T1_Reward_Test_03,,,,,portal,,,
3dc74,3,Flickering Crystal,Images appear briefly in the crystal and then fade away quickly.,You touch the crystal as an image appears and are instantly transported to that mysterious location.,,portal series,t + m p,,Gateway_Challenge_T1_Reward_Test_04,,,,,portal,,,
3dc75,3,Loose Stone,"A single, discolored stone pokes out from the wall.","You try to press the stone and nothing happens. You remove the stone to look at it and the wall swings around, sending you to an unfamiliar place.",,portal series ,m p + m,,Gateway_Challenge_T1_Reward_Test_06,,,,,portal,,,
3dc76,3,Wooden Door,You find a locked wooden door.,You knock down the simple wooden door.,,door,p t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,door,,,
3dc77,3,Broken Gate,This gate is broken and should be easily removable.,With some effort you are able to remove the gate and continue on your way.,,door series,p + m t,,Gateway_Challenge_T1_Reward_Test_01,,,,,door,,,
3dc78,3,Small Barricade,The small barricade should be easy enough to navigate.,"You climb over the top of the barricade, wondering who exactly would be stopped by it.",,door series,m + 2p,,Gateway_Challenge_T1_Reward_Test_03,,,,,door,,,
3dc79,3,Rock Pile,Someone or something has piled rocks in the middle of the path.,"Not sure if this is supposed to be a barricade of some sort, you examine the pile for a bit before moving along.",,door series,m p + t,,Gateway_Challenge_T1_Reward_Test_04,,,,,door,,,
3dc80,3,Crumbling Archway,The archway looks as though it could fall at any moment.,You step quickly through the archway before it can crumble down on top of you.,,door series,2m + p,,Gateway_Challenge_T1_Reward_Test_06,,,,,door,,,
3dc81,3,Goblin Corpse,Someone got to this goblin before you.,Looks like this corpse has already been completely picked through.,,goblin scenario series ,2p + p,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_goblin_02,scenario,,,
3dc82,3,Crude Idol,A simple idol sits alone on a large rock.,"Despite its simplicity, you suspect there is more to this idol than meets the eye and surely someone, somewhere, will want it.",,scenario,m p t,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,,
3dc83,3,Sleeping Guards,No reason to wake them...,"You sneak past the sleeping guards, being very careful not to disturb them.",,scenario series,2t + p,,Gateway_Challenge_T1_Reward_Test_03,,,,sca_fg_cleric,scenario,,,
3dc84,3,Crumbling Wall,It's almost as if someone on the other side of the wall is trying to crush you.,"Pushing back against the wall, you hear a quiet squeak and then something that sounds like a melon squishing as the stones tumble backwards.",,scenario series,2c + 2t,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,,
3dc85,3,Abandoned Guard Station,It's hard to tell when the guards will return; best not to linger.,The guards return to the station seconds after you're beyond the barricade.,,scenario series,t + t 2c,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,,
3dc86,3,Rickety Bridge,This seems to be the safest way to cross to the other side.,"You take your time crossing the unstable structure. As soon as you make it to the other side, the bridge breaks away and collapses into the black below.",,scenario series,2p + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,,
3dc87,3,Unfinished Painting,You find a half-finished painting of a knight battling a lich.,"While examining the painting, you watch as strokes from an unseen brunch advance the artwork. You set it back down, careful not to disturb whatever spirit is doing the painting.",,scenario series,p + p 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,,
3dc88,3,Glowing Mushrooms,The mushrooms provide the only light in the room.,"You gather a few of the mushrooms, assuming they will come in handy down the road.",,scenario series ,2m + m,,Gateway_Challenge_T1_Reward_Test_03,,,,sca_fg_mushroom,scenario,,,
3dc89,3,Trapped Peasant,You should be able to free the peasant without too much difficulty.,"""Oh thank you! Thank you! Here, take this. I know it's not much, but it's the least I can give..."" the peasant says before running off down the path.",,scenario ,p t 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,sca_fg_woman,scenario,,,
3dc90,3,Wandering Merchant,The merchant shows you a fairly impressive selection of merchandise.,"The transaction complete, the merchant bows and continues back towards Protector's Enclave.",,scenario series,m + 2t,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,,
3dc91,3,Flash of Light,A quick burst of light leaves you momentarily blinded.,"You swing your weapon wildly, hoping to strike whatever is trying to attack. When you regain your vision, you see a splatter of blood and a red-drip trail going off into the darkness.",,scenario series,2c + m p,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,,
3dc92,3,Floating Torch,A single torch floats in the middle of the room.,You try to grab the torch but it giggles and dances out of your reach. This continues for a while before you give up and move along.,,scenario series,m p + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,,
3dc93,3,Small Statue,You find a small statue surrounded by fresh flowers.,"When your hand gets close to the statue, the flowers seem to grow and move to block your reach. Rather than disturb the small garden, you leave the statue and its guardians alone.",,scenario series ,p t + m,,Gateway_Challenge_T1_Reward_Test_03,,,,sca_fg_statue_01,scenario,,,
3dc94,3,Fresh Grave,Someone was very recently buried here.,"You stop and pay your respects to the dead, opting not to dig any deeper.",,scenario series,m p + p,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,,
3dc95,3,Crude Markings,You can't quite make out the symbols on the wall.,"As near as you can figure, the symbols are meant to tell the story of a brave goblin that fought back against human oppression and became a hero to his people.",,scenario series,m + 2m,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,,
3dc96,3,Unnatural Darkness,"You are surrounded by a sudden, choking darkness.","Even magical light cannot penetrate the black cloud surrounding you. Then just as suddenly as it appeared, the darkness dissipates, leaving you with an uneasy feeling.",,scenario series,t + 2m,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,,
3dc97,3,Wishing Well,A few coins at the bottom of the well catch your torchlight.,"Adding a copper to the well, you close your eyes and make a wish. It may yet come true...",,scenario series ,p + 2m,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_well,scenario,,,
3dc98,3,Treasure Hunters,They promise you a share of any treasure you help them recover.,"You aid the treasure hunters and, true to their word, they give you your fair share of the spoils.",,scenario,m 2p,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,,
3dc99,3,Lost Missionary,The missionary babbles incoherently.,"Clearly plagued by madness, the missionary stares at you wild-eyed, speaking in tongues. Before you can get too close, the missionary screams and attacks, forcing you to strike a mortal blow.",,scenario,2p 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,,
3dc100,3,Broken Hourglass,"Ghostly sand continues to pour from a broken, empty hourglass.",You look down to see your hands wrinkling as though aging rapidly. You hurry away from the room hoping any lost youth will return.,,scenario,2m p,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,,
3dc101,3,Unfinished Summoning Circle,"With just a few additional markings, the circle could be completed...","Something is compelling you to finish the circle. As you reach down to make the last few markings, your party grabs you and pulls you from the room.",,scenario,m t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,,
3dc102,3,Dwarven Drinking Contest,A group of dwarves demand you play a drinking game with them.,"You take your place at the table and prepare for a long night of ale, laughter and fistfights.",,dwarf scenario,p t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,,
3dc103,3,Abandoned Campfire,A few glowing embers still provide some warmth and comfort.,"Stoking the embers, you're able to get a nice fire going, enjoying the respite.",,scenario,m 4c,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,,
3dc104,3,Crude Altar,A vulgar altar to a vulgar god.,"You destroy the altar, surely angering whatever twisted deity commissioned it in the first place.",,scenario,2t 3c,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,,
3dc105,3,Loose Floor Tiles,There's something odd about this floor...,"Lifting the tiles, you realize that the entire floor was laid over an ancient graveyard. You say a prayer for the dead and leave the rest of the floor undisturbed.",,scenario,m t 2c,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,,
3dc106,3,Simple Shrine,You find a humble shrine to an unknown deity.,It seems likely that this shrine was constructed by a child for some long-lost pet. You smile and whisper a simple blessing.,,scenario ,m p 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_statue_01,scenario,,,
3dc107,3,Sleeping Wizard,The long beard suggests an advanced age.,"""Wha? Who? Oh, it's you. I wasn't expecting you for a long... long ... ... ti ..."" and with that the wizard falls back asleep. You try to wake him, but have no success.",,scenario,3m,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,,
3dc108,3,Hole in the Wall,The hole is just large enough to stick your hand into.,You begin to reach into the hole before common sense wins out. You shake your head wondering what could have you possessed you to try something like that...,,scenario series,p t + p,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,,
3dc109,3,Skeletal Remains,Large bones litter the room.,You study the remains and determine them to be ogre bones... odd considering you haven't seen any ogres around...,,scenario series,m + m t,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,,
3dc110,3,Blood in the Dirt,Something wounded has been through here recently.,"You track the blood trail and eventually discover the source: a mortally wounded deer. Based on the crude arrow sticking from its side, you assume this was meant to be an orc or goblin's dinner.",,scenario series,2m + t,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,,
3dce01,3,Pilfered Treasury,Most of the treasure has already been claimed.,"You gather what you can, but there wasn't much left.",Claim what's left of the <b>Pilfered Treasury</b>.,end series ,t + p + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce02,3,Ransacked Treasure Room,Very little treasure still remains.,You take the last of the remaining treasure.,See if any treasure still remains in the <b>Ransacked Treasure Room</b>.,end series ,m + t + p,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce03,3,Unlocked Vault,It looks like someone got to this vault before you.,The previous adventurer left very little behind for you.,Search inside the <b>Unlocked Vault</b>.,end series ,m + m + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce04,3,Pillaged Repository,It's hard to say what type of treasure was kept here.,Virtually nothing is left in the repository.,Search through the remains of the <b>Pillaged Repository</b>.,end series ,t + 3c + t,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce05,3,Emptied Coffers,You can hear someone else in the room...,"You turn to strike the rogue before taking a dagger yourself. Victorious, you take the treasure they'd hoped to claim for themselves.",Recover what you can from the <b>Emptied Coffers</b>.,end series ,p + p + m,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce06,3,Picked-Through Treasure Pile,The best items have already been taken.,You take the best of what's left and begin the journey home.,Find the last items of worth within the <b>Picked-Through Treasure Pile</b>.,end series ,t + p + t,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
