id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,
4dc27,4,Spider Eggs,Best to deal with these before they hatch.,"Setting fire to the nests of eggs, you decide to move along before the mother spider sees what you've done.",,spider critter series,3c + t 4c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc28,4,Giant Spider Web,A web this size seems intended for something larger than you.,You're able to avoid most of the web and have no trouble cutting through other sections.,,spider critter,3p 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
4dc29,4,Stalking Spider,You turn around just in time to see your eight-legged attacker strike from the shadows.,"The spider is defeated. Had you spotted it a second later, the outcome might have been very different.",,spider critter series,7c + 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
4dc30,4,Prowling Spider,You don't think it's seen you yet. This is your chance to get the upper hand!,"The spider falls, never having seen its attacker.",,spider critter,3t 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
4dc31,4,Scrounging Wererat,The creature sniffs at a pile of corpses.,"Now defeated, the wererat shifts back into human form.",,wererat critter series,2c + p 2t,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc32,4,Wererat Mugger,The bandit changes form before your eyes!,"""You will see me again!"" the mugger yells as it runs off into the shadows.",,wererat critter,p t 4c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc33,4,Wererat Rogue,The wererat alternates rapier strikes with a lunging bite.,"You stand over the defeated rogue, glad none of the bites were able to land.",,wererat critter series,2c + 3t,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
4dc34,4,Wererat Sewer Guard,"The wererat comes at you without stealth, certain of an easy kill.",The sewer guard's overconfidence proved to be its downfall.,,wererat critter,m t 5c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
4dc35,4,Wererat Sewer Mage,The reeking stench of this venomous mage hits you even before his spells.,"It will take many, many baths before the stench of this creature washes off of you.",,wererat critter series,t 3c + m p,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
4dc36,4,Wererat Infiltrators,These creatures make it hard to know who to trust...,"You're fairly sure you've taken care of all the wererats, but you can't be positive.",,wererat critter,t 8c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc37,4,Wererat Spies,They appear to be returning from a recently successful mission.,"You catch the spies off guard, ensuring whatever mission they just completed was their last.",,wererat critter series,2t + m 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc38,4,Wererat Smugglers,"You might not have paid the travelers a second glance, had a bloody arm not slid out from under their wagon's coverings.","Smugglers defeated, you look under the coverings and see a wagon full of bodies. Someone or some thing is going to be very disappointed.",,wererat critter,m 8c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
4dc39,4,Wererat Thieves,"Careful to avoid the poison dripping from their blades, you slowly circle away from the would-be robbers.","Victorious, you check yourself for any cuts from the poisoned blades. Looks like you got lucky.",,wererat critter series,t 2c + 2m,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
4dc40,4,Wererat Patrol,"A mixture of men and rats, the patrol moves through the area, unaware of your presence.","The wererats shifted back and forth, doing their best to confuse and disorient. But in the end, no tactic was good enough to defeat you.",,wererat critter,m 2t 2c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
4dc41,4,Skeleton Archer,You hear wood scrape against bone as the skeleton takes aim.,The wooden bow rattles against the pile of bones now littering the floor.,,undead critter series,m 2c + p t,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc42,4,Ashen Zombie,"A low, dry moan floats from the shadows.","A final, merciful strike the head ends the zombie's torment.",,undead critter,m p t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_zombie_01,critter,,
4dc43,4,Skeletal Squad,Skeletal archers draw their bows and take aim. You have to hope some of them will miss.,"You're not sure how you survived the barrage of arrows, but there you stand over piles of bones.",,undead critter series,p + 2m 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
4dc44,4,Skeleton Snipers,You see an arrow bounce off the wall next to you. It's hard to pinpoint its origin.,"You're still not sure where the arrows were coming from, but they seem to have stopped for now.",,undead critter,2m t 3c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
4dc45,4,Skeleton Ambush,"A wall slides away, revealing a row of skeletal archers, bows at the ready!","Dodging the initial strike, you're able to take out the skeletons before they can nock another arrow.",,undead critter series,2c + m t 2c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
4dc46,4,Skeleton Hound,"The skeletal hound sits at the feet of an undead archer, perhaps master and pet in another life.",You defeat both undead abominations. Hopefully they can rest peacefully now.,,undead critter,2m 4c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc47,4,Victims of Hotenow,"Covered in the ashes of a past tragedy, these lost souls shamble aimlessly across the land.",You will never know the suffering these people went through. At least it's over now.,,undead critter series,3c + 2m p,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_zombie_01,critter,,
4dc48,4,Ashen Zombie Miners,"You see a dried and withered husk, still clutching a mining pick.","With one final strike, you end the torment of the last ashen zombie.",,undead critter,m p 5c,,Gateway_Challenge_T1_Reward_Test_03,,,,sca_fg_zombie_01,critter,,
4dc49,4,Vengeful Ashen Zombies,They almost seem to blame you for their fate...,"The last zombie falls, its hand reaching for your throat. As its hand curls, a single finger points at you before crumbling to dust.",,undead critter series,3c + 3m,,Gateway_Challenge_T1_Reward_Test_04,,,,sca_fg_zombie_01,critter,,
4dc50,4,Smoldering Zombies,"Still smoking as though freshly burned, the pack of zombie moans and shambles towards you.","Bits of ash float through the room, the only sign that a battle had taken place.",,undead critter,3m 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,sca_fg_zombie_01,critter,,
4dc51,4,Blade Trap,A well-hidden trap.,You're able to avoid the blade trap altogether.,,trap series,t + 3t,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,
4dc52,4,Arrow Trap,Someone has worked hard to hide this trap.,You trigger the trap but dodge the arrow at the last second.,,trap,2p 2t,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,
4dc53,4,Dart Trap,"The pressure plate is well hidden, but not invisible.",You are able to disable the dart trap without triggering it.,,trap series,p t + p t,,Gateway_Challenge_T1_Reward_Test_03,,,,,trap,,
4dc54,4,Spear Trap,Small scratches near a hole in the wall give you pause.,"Upon further inspection, this is, in fact, a spear trap. Knowing what you're up against, you're able to avoid it.",,trap,4t,,Gateway_Challenge_T1_Reward_Test_04,,,,,trap,,
4dc55,4,Rockfall Trap,A single trigger is all that stands between life and death beneath tons of stone.,You purposely trigger the rockfall trap from a distance so as to not be hit by it.,,trap series,2t + 2t,,Gateway_Challenge_T1_Reward_Test_06,,,,,trap,,
4dc56,4,False Trap,What first appeared to be a pressure plate was just a decoy for the real danger in the room.,You're able to identify the real threat before it's triggered.,,trap,3t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,
4dc57,4,Sliding Floor Trap,"The floor slowly disappears into the wall, revealing a blazing fire below.","Hopping along the edges of the room, you're able to escape before being swallowed into the fire.",,trap series,2t + m p,,Gateway_Challenge_T1_Reward_Test_01,,,,,trap,,
4dc58,4,Malfunctioning Trap,"Just because it's not working right, doesn't mean it can't still kill you.","You decide it's better to leave this trap undisturbed, rather than trying to disarm it...",,trap,m 2t 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,trap,,
4dc59,4,Pit Trap,No one will be able to hear your cries for help should you end up at the bottom of this pit.,"You disarm the pit trap, move past it, and rearm it should anyone be trying to follow you.",,trap series,2p + t 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,trap,,
4dc60,4,Quicksand,"The ground looks stable enough, but you have the feeling you should tread carefully.",You're able to disarm the trap before the first boot sinks into the ground.,,trap,p 3t,,Gateway_Challenge_T1_Reward_Test_06,,,,,trap,,
4dc61,4,Reinforced Chest,"It is well this sturdy chest was reinforced with steel bands, for something has tried to open it before.","You break the steel bands, revealing the treasure within!",,treasure,2m 2t,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc62,4,Coin Pile,"Piles of coin lie scattered here, as if thieves were interrupted while counting their ill-gotten gains.",You collect the coins and move on.,,treasure series,m 2p + t,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc63,4,Gem Purse,Lost in the corner of this looted room is a small pouch holding gems worth far more than a few coins.,You open the purse and collect the small but valuable treasure.,,treasure,2m p t,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc64,4,Lockbox,This strange jeweled box seemingly appeared out of nowhere and glows with a curious light.,"The enchantment broken, you open the lockbox and collect the rewards.",,treasure series,p t +  m p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc65,4,Scroll Bag,Strange scrolls covered in arcane writing could portend great wisdom or great danger.,You collect the loot but decide to inspect it further later.,,treasure,2m 2p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc66,4,Wooden Crate,This simple wooden crate has yet to be opened.,The crate proves to be no real challenge and you open it with ease.,,treasure series,t + m 2p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc67,4,Sealed Box,"Rune-imprinted wax coats the outside of the box, keeping the seal, and treasure, intact.",You break the seal and collect the treasures within.,,treasure,4p,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc68,4,Scattered Coins,The line of coins makes you think either someone had their purse cut or they're leaving a very expensive trail back home.,You follow the trail for a while before deciding any additional rewards are not worth the obvious trap that awaits.,,treasure series,p 2t + m,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc69,4,Barrel of Goods,You find a store of well-preserved goods. Truly a welcome sight.,You take a moment to enjoy the found spoils before moving on.,,treasure,m p 2t,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc70,4,Weapon Rack,In this light it's hard to tell the quality of the items locked on the rack.,You reach for the most valuable-looking item and continue on your adventure.,,treasure series,m t + m t,,Gateway_Challenge_T1_Reward_Test_05,,,,sca_fg_chest,treasure,,
4dc71,4,Dark Passage,The light of your torches dim to pale sparks as the shadows of the corridor draw closer.,"Moving quickly, you find yourself in a hidden location.",,portal,m 3p,,Gateway_Challenge_T1_Reward_Test_01,,,,,portal,,
4dc72,4,Etched Lever,This lever has been etched with a warning by someone who came before you.,Gears moan and squeal as a secret passage is revealed.,,portal series,2p + m t,,Gateway_Challenge_T1_Reward_Test_01,,,,,portal,,
4dc73,4,Secured Trap Door,"Someone has tried to seal and bar shut this trap door, though you cannot see why.",A defeated abomination lies on the floor near the opened trap door. So that's why it was closed...,,portal,4m,,Gateway_Challenge_T1_Reward_Test_03,,,,,portal,,
4dc74,4,Well-Lit Passageway,This seems too easy...,"Oddly enough, this proved to be just as easy as you'd expected...",,portal series,m + 3m,,Gateway_Challenge_T1_Reward_Test_04,,,,,portal,,
4dc75,4,Spiral Stairway,A strange mist obscures your vision past the first few steps.,"Once into the mist, you find yourself in an impossible location as though you've been magically transported.",,portal,m 2p t,,Gateway_Challenge_T1_Reward_Test_06,,,,,portal,,
4dc76,4,Reinforced Door,A sturdy wooden door reinforced with bands of iron.,You decide to pick the lock after trying and failing to muscle your way through.,,door series,m p + 2t,,Gateway_Challenge_T1_Reward_Test_01,,,,,door,,
4dc77,4,Barricade,A hastily constructed barricade seals the doorway.,"With everyone working together, the barricade is quickly torn down.",,door,t 3p,,Gateway_Challenge_T1_Reward_Test_01,,,,,door,,
4dc78,4,Rock Wall,Something about this stone wall feels wrong...,"You press an oddly-smooth stone and the wall slides open, revealing another area.",,door series,3m + p,,Gateway_Challenge_T1_Reward_Test_03,,,,,door,,
4dc79,4,Repaired Door,Someone has gone through a lot of effort to repair this seemingly mundane door.,You almost feel bad breaking down the newly repaired door. Almost.,,door,m 3t,,Gateway_Challenge_T1_Reward_Test_04,,,,,door,,
4dc80,4,Puzzle-locked door,"Maybe if you put the Three Jade Lions over there, then turned the dial, and then turned the crone statue around...",Rotating the last holy symbol to fit perfectly with the second crone statue causes the door to fly open.,,door series,m p + m p,,Gateway_Challenge_T1_Reward_Test_06,,,,,door,,
4dc81,4,Haunted Mirror,The mirror begins to distort and bend as your twisted reflections push against its surface and laugh with malevolent alien voices.,"Shattering the mirror, you hear otherworldly curses mixed with screams of suffering before the room goes unnaturally silent.",,scenario,2p t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
4dc82,4,Trail of Torches,"A line of lit torches runs off into the darkness, as if someone was beckoning you to follow.",You follow the torches and find the corpse of a failed adventurer. Perhaps this was to be his way back out...,,scenario series,p + 3p,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
4dc83,4,Trapped Merchant,"""I'll help you however I can, just don't let them eat me!"" cries the old merchant as the creatures in the shadows circle closer.","Monstrous corpses litter the floor. ""I can never thank you enough!"" the merchant exclaims, ""here, take this!""",,scenario,2m p 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
4dc84,4,Frozen Wizard,A mighty wizard stands frozen in time mid-battle with an otherworldly foe.,"You try for a while to revive the wizard, but ultimately determine that it would release the monster as well. Best to let them be.",,scenario series,3m + 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,
4dc85,4,Open Grave,Whoever dug up this grave was met halfway by whatever had been buried there.,"You find a few scavenging creatures, but nothing that would have been buried in the grave. It would be wise to keep your guard up.",,scenario,m p t 2c,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,
4dc86,4,Winking Statue,"After assuring yourself that this statue has not moved, you plainly see it wink as you're about to walk away.",You poke and prod at the statue but can't get it to move again. Must have been a trick of the light.,,scenario series,3t + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_statue_01,scenario,,
4dc87,4,Wandering Priest,"""Though I am here on my own quest, perhaps I can be of help to you?"" says the kindly priest.","After spending some time with the priest, you feel a sense of calm and renewed purpose.",,scenario,2p t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_cleric,scenario,,
4dc88,4,Dwarven Drinking Contest - Round 2,The steely-eyed leader of the dwarven band carefully pours dark liquor from a bottle into your glass as his brethren chant.,"You slam your mug down and stand... well, sit... wobbly but triumphant at the table.",,dwarf scenario series,3p + 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
4dc89,4,Shrine of Light,You feel at peace in this sanctified place.,The shrine glows until you are completely at peace and then fades as though suggesting you continue on your adventure.,,scenario,2p t 3c,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,
4dc90,4,Singing Stones,You hide in the shadows as the standing stones sing in slow sad voices of all the things which they have seen.,You watch the stones for a while until you realize you are being drawn into their despair. You use the last of your willpower to move past them.,,scenario series,3c + 3m,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,
4dc91,4,Fighting Pit,The pit master looks you up and down and readies a challenge he thinks will be just right to kill you.,Looks like the pit master underestimated your prowess. He won't make that mistake again.,,scenario,p 2t 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_cleric,scenario,,
4dc92,4,Silent Room,The only sound you can hear in this supernatural silence is the beating of your own heart.,"With a deft strike, you drop the wizard that was casting the silence spell, just in time to hear his final whimper.",,scenario series,2t + m 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
4dc93,4,Pile of Bones,Bones gnawed clean are gathered in a massive pile reaching to the ceiling.,"The beast that had built the pile lies dead at your feet, its body now added to the stack.",,scenario,m p t 3c,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
4dc94,4,Slippery Stones,"It is difficult to keep your footing on these slick black stones, forcing you to move with care.","You fall a few times, but nothing you can't recover from.",,scenario series,2p 2c + p,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,
4dc95,4,Orc Banners,"War banners of a dozen orc clans are gathered here, either as warnings or as trophies.","You set fire to the banners which attracts the attention of a group of orcs, allowing your ambush to go off exactly as planned.",,orc scenario,m 2p 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,
4dc96,4,Empty Tomb,The words are too worn away for you to know who was once buried here.,A chill runs up your spine as you make out your own name on the tomb...,,scenario series,2m t + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
4dc97,4,Hunter's Trophy,"Majestically posed, you find the stuffed corpses of a bear and wolf. ""Want to hear how I took them down?"" asks a voice from the shadows.",You take the time to pose the fallen hunter beneath his stuffed trophies.,,scenario,m 2p 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
4dc98,4,Pinned Note,"Scrawled hastily and stuck to the wall with a knife is a small piece of paper with the words, ""Be afraid.""","While you're examining the note, you feel ghostly fingers run along your shoulder and across your throat. You re-pin the note to the wall and leave as quickly as possible.",,scenario series,p t + m 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
4dc99,4,Strange Ritual,"A pair of orcs chant quietly while a gnoll, kneeling in the center of a circle, raises a jagged blade into the air and begins to lower it slowly towards its own head.",You stop the ritual before it can complete. You may never know what unholy thing they were attempting.,,scenario,3m p,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,
4dc100,4,Ghostly Party,"As soon as you step into the room, the scene changes to an ethereal party; a celebration held by ghosts remembering better days long since past.",You join the ghosts and listen as the reminisce about their former lives and loves.,,scenario series,2m + 2t,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,
4dc101,4,"""Have a Seat""","A slender man with a toothy grin sits in a large, red chair. He motions to a similar chair and holds out a glass of brandy.","You awaken some time later, the taste of brandy still on your tongue. The strange man is nowhere to be seen.",,scenario,m 2t 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
4dc102,4,Giant Game Board,"Game pieces the size of men stand on top of a painted board. A gnome on the far side of the room yells to you, ""I go first!""","""Not fair! Not fair! You cheated!"" the gnome cries as he runs off, the loser at his own game.",,scenario series,2t 2c + m,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
4dc103,4,Broken Wagon,"A merchant sits staring at a damaged wheel, ""Doomed. They'll be back and I'll be dead...""","The thief-in-merchant's-clothing lies dead at your feet. If he had accomplices, they're staying away from you.",,scenario,3m t,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
4dc104,4,The Kindly Old Witch,"""I know what you're thinking. We aren't all like that, you know. Of course my sister follows the old ways, but stay away from her and you should be fine.""","The witch thanks you for your company and offers some parting advice, ""My sister cannot be reasoned with. If you see her, kill her.""",,scenario series,2t + 2m,,Gateway_Challenge_T1_Reward_Test_04,,,,sca_fg_woman,scenario,,
4dc105,4,The Cruel Old Witch,"""I know what you're thinking. And you're right... crossing my path is the last mistake you will ever make. A shame you didn't find my sister instead.""","The fatal blow dealt, the witch bursts into green flames, leaving no mortal remains.",,scenario,m p t 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,sca_fg_woman,scenario,,
4dc106,4,Lost Owlbear Cub,For a moment you're tempted to keep the cub and raise it as your own.,The cub follows you for a while before getting distracted by a far-away noise and running off into the darkness.,,scenario series,m + m 2p,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
4dc107,4,Glimmer in the Muck,"Through a grating and embedded in awful filth, you see the small shine of something potentially valuable.","You dig out a small metal shard. It looks like a piece of intricately engraved armor, but far too damaged to be of any further use.",,scenario,2m p 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,scenario,,
4dc108,4,Crystal Ball,You find a large crystal ball containing a small goblin's skull and for a moment are convinced it is speaking to you...,"You finish your conversation with the enchanted goblin skull, wondering if anyone will believe this actually happened.",,scenario series,p + 2m p,,Gateway_Challenge_T1_Reward_Test_03,,,,,scenario,,
4dc109,4,Green Slime,A slow drip of green falls from the ceiling and splashes into a large green puddle.,"You see the slime come together, forming a cube-like shape. Today, discretion will be the better part of valor...",,scenario,2m t 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,scenario,,
4dc110,4,Earthmote Bridge,A path of floating earth provides a way to cross the chasm before you.,"You cross to the other side and look back at the floating earth, wondering how long the spell will persist.",,scenario series,2m p + p,,Gateway_Challenge_T1_Reward_Test_06,,,,,scenario,,
4dce01,4,Treasure Room,Wealth and treasures from a dozen lands have all been haphazardly piled here.,You gather the most valuable items and make your way back to the area's entrance. Congratulations! Your quest is complete!,Riches await in the <b>Treasure Room</b>.,end series,m + p + t 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce02,4,Hidden Storehouse,Secret doors and trapped locks hide this store of hidden treasure.,You secure the storehouse and search through to find it filled with riches! Congratulations! Your quest is complete!,Discover the treasure in the <b>Hidden Storehouse</b>.,end series,3c + m p + t,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce03,4,Gem Storage Vault,Great numbers of gemstones and jewels cover every surface of this room.,You pry the best gems loose and fill your packs until you can carry no more. Congratulations! Your quest is complete!,Valuable stones await in the <b>Gem Storage Vault</b>.,end series,m t + 3c + p,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce04,4,Enchanted Library,"Floating spires covered in tomes and grimoires rise up from the mist, their pages opening to you.","You could spend a lifetime in this library, but for now you gather the rarest and most ancient tomes. Congratulations! Your quest is complete!",Read through the magical tomes in the <b>Enchanted Library</b>.,end series,p t + m + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
